"ts","open","high","low","close","volume"
"1753377000000","187.0788","188.0721","187.0775","187.9576","478.46"
"1753377300000","187.9576","188.0788","187.3736","187.7142","539.56"
"1753377600000","187.7142","188.8273","187.6781","188.8245","417.1"
"1753377900000","188.8245","188.9054","188.2575","188.2638","417.38"
"1753378200000","188.2638","188.686","188.0064","188.6833","380.97"
"1753378500000","188.6833","188.6868","188.313","188.6773","333.73"
"1753378800000","188.6773","188.6896","188.2781","188.566","329.08"
"1753379100000","188.566","189.0129","188.5021","189.0092","435.38"
"1753379400000","189.0092","189.579","189.0036","189.5698","423"
"1753379700000","189.5698","189.5797","188.8637","188.8729","424.47"
"1753380000000","188.8729","188.8754","187.9762","188.1146","592.45"
"1753380300000","188.1146","189.4263","188.1135","188.8826","410.94"
"1753380600000","188.8826","189.534","188.8818","189.2743","428.2"
"1753380900000","189.2743","189.5779","188.8727","189.2728","516.71"
"1753381200000","189.2728","189.8819","189.2708","189.4746","485.75"
"1753381500000","189.4746","189.5824","189.4658","189.5758","336.29"
"1753381800000","189.5758","189.9036","189.4771","189.5759","338.52"
"1753382100000","189.5759","189.578","188.8744","189.2732","316.65"
